group_id,category,_id
HIGH_00029,HIGH,87118
HIGH_00029,HIGH,105331
HIGH_00029,HIGH,133524
HIGH_00029,HIGH,165311
HIGH_00029,HIGH,328515
HIGH_00029,HIGH,481100
HIGH_00030,HIGH,35700
HIGH_00030,HIGH,106157
HIGH_00030,HIGH,133653
HIGH_00030,HIGH,155747
HIGH_00030,HIGH,236360
HIGH_00030,HIGH,279642
HIGH_00030,HIGH,283266
HIGH_00030,HIGH,324527
HIGH_00030,HIGH,446359
HIGH_00030,HIGH,478673
HIGH_00030,HIGH,526903
HIGH_00030,HIGH,532319
HIGH_00030,HIGH,560759
HIGH_00030,HIGH,564967
HIGH_00031,HIGH,80905
HIGH_00031,HIGH,90791
HIGH_00031,HIGH,132179
HIGH_00031,HIGH,162069
HIGH_00031,HIGH,176839
HIGH_00031,HIGH,206087
HIGH_00031,HIGH,251873
HIGH_00031,HIGH,377276
HIGH_00031,HIGH,396272
HIGH_00031,HIGH,423753
HIGH_00031,HIGH,424882
HIGH_00031,HIGH,472785
HIGH_00031,HIGH,508173
HIGH_00031,HIGH,520393
HIGH_00031,HIGH,529394
HIGH_00032,HIGH,21623
HIGH_00032,HIGH,62218
HIGH_00032,HIGH,69569
HIGH_00032,HIGH,79785
HIGH_00032,HIGH,94523
HIGH_00032,HIGH,145315
HIGH_00032,HIGH,161675
HIGH_00032,HIGH,182082
HIGH_00032,HIGH,183375
HIGH_00032,HIGH,184212
HIGH_00032,HIGH,269371
HIGH_00032,HIGH,336599
HIGH_00032,HIGH,341354
HIGH_00032,HIGH,354818
HIGH_00032,HIGH,450388
HIGH_00033,HIGH,2801
HIGH_00033,HIGH,4215
HIGH_00033,HIGH,53782
HIGH_00033,HIGH,101398
HIGH_00033,HIGH,152539
HIGH_00033,HIGH,197682
HIGH_00033,HIGH,209954
HIGH_00033,HIGH,210031
HIGH_00033,HIGH,252783
HIGH_00033,HIGH,326426
HIGH_00033,HIGH,338677
HIGH_00033,HIGH,424325
HIGH_00033,HIGH,467095
HIGH_00033,HIGH,483364
HIGH_00033,HIGH,491655
HIGH_00034,HIGH,11375
HIGH_00034,HIGH,58809
HIGH_00034,HIGH,72860
HIGH_00034,HIGH,74137
HIGH_00034,HIGH,123616
HIGH_00034,HIGH,130201
HIGH_00034,HIGH,142241
HIGH_00034,HIGH,204147
HIGH_00034,HIGH,224619
HIGH_00034,HIGH,236395
HIGH_00034,HIGH,272784
HIGH_00034,HIGH,282791
HIGH_00034,HIGH,288860
HIGH_00034,HIGH,326669
HIGH_00034,HIGH,395998
HIGH_00035,HIGH,31698
HIGH_00035,HIGH,33312
HIGH_00035,HIGH,67591
HIGH_00035,HIGH,79293
HIGH_00035,HIGH,448942
HIGH_00036,HIGH,7398
HIGH_00036,HIGH,19436
HIGH_00036,HIGH,61689
HIGH_00036,HIGH,115616
HIGH_00036,HIGH,232833
HIGH_00036,HIGH,255342
HIGH_00036,HIGH,256722
HIGH_00036,HIGH,317051
HIGH_00036,HIGH,337768
HIGH_00036,HIGH,407009
HIGH_00037,HIGH,21265
HIGH_00037,HIGH,38698
HIGH_00037,HIGH,54853
HIGH_00037,HIGH,55507
HIGH_00037,HIGH,74422
HIGH_00037,HIGH,207045
HIGH_00037,HIGH,533634
HIGH_00038,HIGH,5817
HIGH_00038,HIGH,30670
HIGH_00038,HIGH,210104
HIGH_00038,HIGH,387855
HIGH_00038,HIGH,503583
HIGH_00038,HIGH,565877
HIGH_00039,HIGH,14343
HIGH_00039,HIGH,68305
HIGH_00039,HIGH,89054
HIGH_00039,HIGH,169382
HIGH_00039,HIGH,275217
HIGH_00039,HIGH,389544
HIGH_00039,HIGH,416329
HIGH_00040,HIGH,887
HIGH_00040,HIGH,4388
HIGH_00040,HIGH,21319
HIGH_00040,HIGH,76306
HIGH_00040,HIGH,85552
HIGH_00040,HIGH,192026
HIGH_00040,HIGH,293263
HIGH_00040,HIGH,427446
HIGH_00041,HIGH,53423
HIGH_00041,HIGH,63549
HIGH_00041,HIGH,78624
HIGH_00041,HIGH,268097
HIGH_00041,HIGH,473670
HIGH_00042,HIGH,63484
HIGH_00042,HIGH,77907
HIGH_00042,HIGH,78093
HIGH_00042,HIGH,160804
HIGH_00042,HIGH,238216
HIGH_00042,HIGH,266825
HIGH_00042,HIGH,354947
HIGH_00042,HIGH,358543
HIGH_00042,HIGH,371397
HIGH_00042,HIGH,384523
HIGH_00042,HIGH,391535
HIGH_00042,HIGH,396858
HIGH_00042,HIGH,416835
HIGH_00042,HIGH,492366
HIGH_00042,HIGH,499571
HIGH_00043,HIGH,211405
HIGH_00043,HIGH,218206
HIGH_00043,HIGH,223359
HIGH_00043,HIGH,225738
HIGH_00043,HIGH,230281
HIGH_00043,HIGH,275390
HIGH_00043,HIGH,276673
HIGH_00043,HIGH,278805
HIGH_00043,HIGH,308116
HIGH_00043,HIGH,323078
HIGH_00043,HIGH,327092
HIGH_00043,HIGH,337723
HIGH_00043,HIGH,338716
HIGH_00043,HIGH,362255
HIGH_00043,HIGH,396918
HIGH_00044,HIGH,53033
HIGH_00044,HIGH,82208
HIGH_00044,HIGH,349023
HIGH_00044,HIGH,410922
HIGH_00044,HIGH,440165
HIGH_00045,HIGH,494
HIGH_00045,HIGH,5217
HIGH_00045,HIGH,9358
HIGH_00045,HIGH,202038
HIGH_00045,HIGH,206062
HIGH_00045,HIGH,209326
HIGH_00045,HIGH,209588
HIGH_00045,HIGH,220238
HIGH_00045,HIGH,225054
HIGH_00045,HIGH,230320
HIGH_00045,HIGH,231624
HIGH_00045,HIGH,231864
HIGH_00045,HIGH,249146
HIGH_00045,HIGH,251508
HIGH_00045,HIGH,291441
HIGH_00046,HIGH,100819
HIGH_00046,HIGH,108995
HIGH_00046,HIGH,111260
HIGH_00046,HIGH,146357
HIGH_00046,HIGH,201515
HIGH_00046,HIGH,207677
HIGH_00046,HIGH,217400
HIGH_00046,HIGH,234442
HIGH_00046,HIGH,268105
HIGH_00046,HIGH,318050
HIGH_00046,HIGH,351419
HIGH_00046,HIGH,374840
HIGH_00046,HIGH,467241
HIGH_00046,HIGH,481248
HIGH_00046,HIGH,506661
HIGH_00047,HIGH,102638
HIGH_00047,HIGH,145685
HIGH_00047,HIGH,200107
HIGH_00047,HIGH,202235
HIGH_00047,HIGH,325530
HIGH_00047,HIGH,325922
HIGH_00047,HIGH,326463
HIGH_00047,HIGH,330815
HIGH_00047,HIGH,336194
HIGH_00047,HIGH,336517
HIGH_00047,HIGH,336896
HIGH_00047,HIGH,337420
HIGH_00047,HIGH,459632
HIGH_00047,HIGH,475778
HIGH_00047,HIGH,476529
HIGH_00048,HIGH,142106
HIGH_00048,HIGH,148522
HIGH_00048,HIGH,189487
HIGH_00048,HIGH,296430
HIGH_00048,HIGH,304770
HIGH_00048,HIGH,481970
HIGH_00048,HIGH,483163
HIGH_00048,HIGH,484741
HIGH_00048,HIGH,521571
HIGH_00049,HIGH,119975
HIGH_00049,HIGH,120234
HIGH_00049,HIGH,122101
HIGH_00049,HIGH,182295
HIGH_00049,HIGH,202454
HIGH_00049,HIGH,446626
HIGH_00049,HIGH,481914
HIGH_00049,HIGH,531517
HIGH_00049,HIGH,534837
HIGH_00050,HIGH,54895
HIGH_00050,HIGH,62299
HIGH_00050,HIGH,64547
HIGH_00050,HIGH,88401
HIGH_00050,HIGH,89501
HIGH_00050,HIGH,121653
HIGH_00050,HIGH,234478
HIGH_00050,HIGH,250526
HIGH_00050,HIGH,264881
HIGH_00050,HIGH,350176
HIGH_00050,HIGH,350323
HIGH_00050,HIGH,368473
HIGH_00050,HIGH,448316
HIGH_00050,HIGH,501211
HIGH_00050,HIGH,559155
HIGH_00051,HIGH,14350
HIGH_00051,HIGH,18426
HIGH_00051,HIGH,33951
HIGH_00051,HIGH,48242
HIGH_00051,HIGH,49660
HIGH_00051,HIGH,53002
HIGH_00051,HIGH,55116
HIGH_00051,HIGH,65175
HIGH_00051,HIGH,65329
HIGH_00051,HIGH,73085
HIGH_00051,HIGH,142065
HIGH_00051,HIGH,161152
HIGH_00051,HIGH,228115
HIGH_00051,HIGH,230378
HIGH_00051,HIGH,564744
HIGH_00052,HIGH,6925
HIGH_00052,HIGH,143913
HIGH_00052,HIGH,145380
HIGH_00052,HIGH,160818
HIGH_00052,HIGH,193792
HIGH_00052,HIGH,219168
